symbol,date,signal,shares,entry_price,exit_price,entry_vwap,gross_pnl,commission,net_pnl,exit_reason,capital_after
TQQQ,2025-06-10,short,1318,74.72,74.76,74.72818622990597,-52.72000000000824,1.318,-54.03800000000824,Stop Loss (Close > VWAP),98470.24099999998
TQQQ,2025-06-11,short,1299,75.77,75.8,75.77795465994961,-38.97000000000148,1.299,-40.269000000001476,Stop Loss (Close > VWAP),98429.97199999998
TQQQ,2025-06-12,long,1321,74.5,74.53,74.46079419416678,39.6300000000015,1.321,38.309000000001504,Stop Loss (Close < VWAP),98468.28099999999
TQQQ,2025-06-13,short,1360,72.36,72.43,72.44145005439304,-95.20000000001005,1.36,-96.56000000001005,Stop Loss (Close > VWAP),98371.72099999998
TQQQ,2025-06-16,short,1332,73.81,73.8,73.8155149438416,13.320000000006814,1.332,11.988000000006814,Stop Loss (Close > VWAP),98383.70899999999
TQQQ,2025-06-17,short,1322,74.41,74.39,74.41592131215614,26.43999999999474,1.322,25.11799999999474,Stop Loss (Close > VWAP),98408.82699999998
TQQQ,2025-06-18,long,1321,74.48,74.38,74.47006451612904,-132.10000000001128,1.321,-133.42100000001128,Stop Loss (Close < VWAP),98275.40599999996
TQQQ,2025-06-20,short,1348,72.87,72.88,72.90780016792611,-13.47999999998774,1.348,-14.82799999998774,Stop Loss (Close > VWAP),98260.57799999996
TQQQ,2025-06-23,short,1345,73.01,73.07,73.01746137223122,-80.69999999998394,1.345,-82.04499999998394,Stop Loss (Close > VWAP),98178.53299999998
TQQQ,2025-06-24,long,1266,77.49,77.48,77.46068141903758,-12.659999999988486,1.266,-13.925999999988486,Stop Loss (Close < VWAP),98164.60699999999
TQQQ,2025-06-25,long,1255,78.18,78.17,78.17905436112568,-12.55000000000642,1.2550000000000001,-13.805000000006421,Stop Loss (Close < VWAP),98150.80199999998
TQQQ,2025-06-26,short,1236,79.36,79.4,79.40085282700998,-49.44000000000773,1.236,-50.676000000007726,Stop Loss (Close > VWAP),98100.12599999997
TQQQ,2025-06-30,long,1179,83.18,83.15,83.16499344863732,-35.37000000000134,1.179,-36.54900000000134,Stop Loss (Close < VWAP),98063.57699999998
TQQQ,2025-07-01,short,1191,82.32,82.38,82.32970214455916,-71.46000000000271,1.191,-72.65100000000271,Stop Loss (Close > VWAP),97990.92599999998
TQQQ,2025-07-02,long,1208,81.1,81.08,81.08957582695668,-24.159999999995193,1.208,-25.36799999999519,Stop Loss (Close < VWAP),97965.55799999998
TQQQ,2025-07-03,short,1183,82.8,82.83,82.80786400591279,-35.490000000001345,1.183,-36.673000000001345,Stop Loss (Close > VWAP),97928.88499999998
