Datetime,Symbol,Open,High,Low,Close,Volume
2025-04-30 14:16:00,QQQ,466.18,466.19,465.76,465.845,152279.0
2025-04-30 14:17:00,QQQ,465.82,465.9,465.58,465.64,56389.0
2025-04-30 14:18:00,QQQ,465.6,466.0,465.58,465.935,42417.0
2025-04-30 14:19:00,QQQ,465.81,466.48,465.77,466.41,88635.0
2025-04-30 14:20:00,QQQ,466.388,466.6,466.14,466.32,101751.0
2025-04-30 14:21:00,QQQ,466.41,466.5598,466.12,466.36,194869.0
2025-04-30 14:22:00,QQQ,466.34,466.34,466.0399,466.04,313121.0
2025-04-30 14:23:00,QQQ,466.02,466.55,465.98,466.41,110687.0
2025-04-30 14:24:00,QQQ,466.43,466.9775,466.43,466.875,125248.0
2025-04-30 14:25:00,QQQ,466.85,466.85,466.53,466.72,192732.0
2025-04-30 14:26:00,QQQ,466.66,467.14,466.645,467.14,99966.0
2025-04-30 14:27:00,QQQ,467.08,467.11,466.75,467.01,98447.0
2025-04-30 14:28:00,QQQ,466.97,467.02,466.72,466.87,82582.0
2025-04-30 14:29:00,QQQ,466.91,467.505,466.85,467.38,139435.0
2025-04-30 14:30:00,QQQ,467.38,467.73,467.0,467.64,122993.0
2025-04-30 14:31:00,QQQ,467.66,468.08,467.65,467.88,210533.0
2025-04-30 14:32:00,QQQ,467.89,468.18,467.55,467.66,109145.0
2025-04-30 14:33:00,QQQ,467.69,468.1399,467.69,467.87,81373.0
2025-04-30 14:34:00,QQQ,467.91,468.1,467.64,467.6901,86091.0
2025-04-30 14:35:00,QQQ,467.695,467.695,467.11,467.2812,180074.0
2025-04-30 14:36:00,QQQ,467.34,467.43,466.9,466.98,77891.0
2025-04-30 14:37:00,QQQ,466.975,467.33,466.96,467.1,54391.0
2025-04-30 14:38:00,QQQ,467.12,467.2,466.673,467.17,107099.0
2025-04-30 14:39:00,QQQ,467.08,467.5544,467.075,467.31,58870.0
2025-04-30 14:40:00,QQQ,467.3203,467.4275,466.92,467.1,41683.0
2025-04-30 14:41:00,QQQ,467.07,467.07,466.59,466.705,90624.0
